Scheme Code,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,AMC Name
138885,INF223J012M1,INF223J016M2,PGIM India Arbitrage Fund - Regular Plan - Annual Dividend,11.4278,PGIM India Mutual Fund
138876,INF223J019N4,-,PGIM India Arbitrage Fund - Regular Plan - Growth,17.933,PGIM India Mutual Fund
138883,INF223J011M3,INF223J015M4,PGIM India Arbitrage Fund - Regular Plan - Monthly Dividend,11.1926,PGIM India Mutual Fund
138884,INF223J010M5,INF223J014M7,PGIM India Arbitrage Fund - Regular Plan - Quarterly Dividend,10.7541,PGIM India Mutual Fund
138887,INF223J019L8,INF223J013M9,PGIM India Arbitrage Fund - Regular Plan - Regular Dividend,12.1857,PGIM India Mutual Fund
152109,INF879O01225,-,Parag Parikh Arbitrage Fund - Direct Plan Growth,11.0121,Unknown AMC
152110,INF879O01217,-,Parag Parikh Arbitrage Fund - Regular Plan Growth,10.9616,Unknown AMC
153090,INF0K1H01214,-,Samco Arbitrage Fund - Direct Plan - Growth,10.14,Samco Mutual Fund
153091,INF0K1H01222,-,Samco Arbitrage Fund - Regular Plan - Growth,10.12,Samco Mutual Fund
119574,INF200K01QU0,-,SBI Arbitrage Opportunities Fund - Direct Plan - Gr,35.0119,SBI Mutual Fund
119567,INF200K01QS4,INF200K01QT2,SBI Arbitrage Opportunities Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),18.9174,SBI Mutual Fund
104457,INF200K01156,-,SBI Arbitrage Opportunities Fund - Regular Plan - Gr,32.9875,SBI Mutual Fund
104458,INF200K01131,INF200K01149,SBI Arbitrage Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),17.3478,SBI Mutual Fund
149552,INF173K01NB6,-,Sundaram Arbitrage Fund (Formerly Know as Principal Arbitrage Fund) - Regular Plan - Growth,14.1158,Sundaram Mutual Fund
149551,INF173K01MY0,INF173K01NA8,Sundaram Arbitrage Fund (Formerly Known as Principal Arbitrage Fund)- Regular Plan - Monthly Income Distribution CUM Capital Withdrawal,12.4102,Sundaram Mutual Fund
149550,INF173K01NF7,-,Sundaram Arbitrage Fund (Formerly Known as Prinicpal Arbitrage Fund) - Direct Plan - Growth,14.8358,Sundaram Mutual Fund
149549,INF173K01NC4,INF173K01NE0,Sundaram Arbitrage Fund( Formerly Known as Principal Arbitrage Fund) - Direct Plan- Monthly Income Distribution CUM Capital Withdrawal,12.8288,Sundaram Mutual Fund
145727,INF277K018Q1,-,TATA Arbitrage Fund Direct Plan - Monthly Payout of Income Distribution cum capital withdrawal option ,14.1309,Unknown AMC
